Time,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3
1471356.43,-0.8121132031249999,0.0804451757812501,1.1109095703125,-21.6,-17.4,-10.6,142.6,-312.6,-368.6
1471357.4274000002,-0.58610056640625,-0.25282769531249905,1.2832920898437499,-22.0,139.8,26.2,153.6,-305.6,-397.2
1471358.3643333332,-0.9078812695312499,0.04596867187500031,0.46351744140624995,-11.0,41.4,0.0,182.8,-313.6,-396.0
1471359.4302,-0.9002198242187499,0.11109095703124972,0.52097828125,-9.0,27.8,-16.0,194.0,-317.2,-400.4
1471360.4282,-0.86191259765625,-0.19919757812500016,0.84658970703125,-54.4,24.4,5.8,211.6,-313.2,-413.6
1471361.4316,-0.8963891015624998,-0.26815058593749974,0.9883264453125,-10.2,-42.8,28.0,197.2,-299.6,-420.8
1471362.432,-0.7852981445312499,0.11109095703124972,0.45968671875,9.2,-17.6,-17.8,191.4,-313.0,-402.6
1471363.3635,-0.75465236328125,0.03830722656249996,0.4903325,-46.4,-14.4,-1.8,190.0,-320.8,-394.4
1471364.43,-0.750821640625,0.04596867187500031,1.0342951171875,-35.2,-40.2,-25.8,198.2,-311.4,-413.4
1471365.4282,-0.76997525390625,-0.37924154296874946,1.3177685937499999,-40.4,-34.4,28.0,182.6,-300.2,-413.8
1471366.4302,-0.8542511523437499,-0.18770541015624964,1.8349161523437498,-13.4,-19.4,-3.0,163.4,-290.6,-424.6
1471367.4312,-0.81594392578125,0.07278373046874975,1.6548721875,-29.8,-15.4,-24.0,171.8,-303.0,-418.2
1471368.3648333333,-0.7891288671875,-0.21452046874999908,1.6472107421875,-10.4,0.8,-8.6,182.2,-299.4,-418.2
1471369.4294,-0.9193734375,-0.26431986328124957,1.3867216015625001,-17.0,6.4,30.2,177.4,-301.4,-415.8
1471370.4314000001,-1.01131078125,0.0651222851562494,0.6052541796875,47.4,-10.4,-29.6,186.2,-311.4,-398.6
1471371.4264,-0.8312668164062499,-0.07661445312499993,-0.21068974609375,-3.8,-52.2,3.0,180.0,-326.0,-376.0
1471372.4292000001,-0.873404765625,-0.015322890625000696,0.0076614453125,-44.8,-11.0,3.2,172.2,-328.2,-368.2
1471373.3698333332,-0.904050546875,-0.17621324218749912,0.7852981445312499,-51.4,-43.4,15.8,156.6,-310.2,-392.6
1471374.4286,-0.8542511523437499,0.17238251953125072,0.5592855078125,4.2,-22.0,-16.6,156.8,-314.0,-382.0
1471375.429,-0.81594392578125,-0.05746083984375083,0.7278373046875,-44.0,-29.2,-6.6,159.0,-317.4,-381.8
1471376.4287999999,-0.7967903125,-0.13024457031250058,0.7967903125,-21.6,-25.2,-12.0,161.4,-315.0,-382.2
1471377.4275999998,-0.70868369140625,-0.16855179687500055,0.80828248046875,-13.4,-40.6,19.6,145.4,-311.0,-378.2
1471378.3713333332,-1.09941740234375,-0.03447650390624979,1.0802637890625,-25.8,-49.0,-2.6,135.2,-310.8,-377.6
1471379.433,-0.62440779296875,0.14556746093750128,1.4135366601562498,-18.6,59.2,-35.2,142.0,-308.8,-380.4
1471380.4322000002,-0.8772354882812499,-0.37924154296874946,0.7967903125,-40.4,113.0,49.2,174.0,-310.8,-396.4
1471381.4266,-0.7431601953124999,0.10342951171874937,1.0802637890625,-36.2,34.2,0.8,177.8,-299.4,-416.6
1471382.4302,-0.96151138671875,-0.030645781249999615,0.9653421093749999,6.2,26.6,-2.2,195.0,-306.6,-410.2
1471383.3726666667,-0.9691728320312499,-0.02681505859374944,0.89255837890625,-31.8,16.8,-19.4,209.8,-311.0,-409.0
1471384.4272,-0.97683427734375,-0.14939818359374968,0.8580818749999999,-11.6,6.8,12.0,214.6,-314.2,-408.6
1471385.4298,-1.01131078125,0.0,0.50948611328125,-12.4,-26.2,-0.2,213.2,-308.4,-412.8
1471386.4354,-0.92320416015625,-0.022984335937499267,0.73166802734375,-37.4,-16.0,-7.8,215.8,-310.6,-410.2
1471387.4262,-0.980665,-0.0995987890624992,0.7738059765624999,-14.0,-2.0,6.8,211.4,-306.2,-411.8
1471388.3731666668,-0.9193734375,-0.03830722656249996,0.80828248046875,-15.6,-19.0,-17.6,212.6,-311.4,-409.0
1471389.4316,-0.9883264453125,-0.07661445312499993,0.9270348828124999,-31.6,-5.0,1.6,211.8,-313.0,-413.4
1471390.4275999998,-0.9346963281249999,-0.04213794921875014,0.9155427148437499,-7.0,-2.0,-6.2,216.0,-307.2,-411.6
1471391.43,-0.89255837890625,-0.33327287109374915,0.48267105468749993,-16.6,-31.8,29.4,208.2,-312.2,-407.4
1471392.428,-0.9730035546874999,0.09193734374999885,0.65505357421875,-33.6,-25.4,-3.6,196.6,-310.6,-406.6
1471393.3748333333,-0.93852705078125,-0.04596867187500031,0.8312668164062499,-15.0,-7.4,-10.8,194.8,-308.8,-406.0
1471394.43,-0.9346963281249999,0.23750480468750013,0.84658970703125,-21.2,3.4,-28.2,204.8,-312.8,-406.8
1471395.4286,-0.9576806640625,-0.13407529296875076,0.8504204296874999,-30.0,9.4,-7.8,220.0,-313.2,-416.0
1471396.4278,-0.7929595898437499,-0.5133168359375002,0.7048529687499999,-10.8,-71.8,60.2,205.2,-309.6,-404.4
1471397.431,-0.9883264453125,0.01915361328125087,1.0879252343749999,-38.8,12.8,-15.8,182.2,-302.6,-413.0
1471398.3763333333,-0.95001921875,0.06129156250000101,1.4135366601562498,-23.4,33.4,-18.2,202.6,-297.8,-419.0
1471399.4282,-0.9346963281249999,-0.06895300781249958,0.7929595898437499,7.8,-1.6,-3.6,218.8,-313.2,-410.0
1471400.4308,-0.9538499414062499,-0.04596867187500031,0.7431601953124999,-36.6,-7.6,2.2,214.8,-310.0,-412.0
1471401.4287999999,-0.9730035546874999,0.14939818359374968,0.58610056640625,-0.8,-28.8,-13.0,212.2,-306.2,-412.2
